Adams
Geerts
Geudens
Geuens
Gevaert
Gielen
Gillis
Goethals
Goossens
Goovaerts
Goris
Govaerts
Goyvaerts
Hanssens
Hellemans
Helsen
Hendrickx
Hens
Heremans
Herman
Hermans
Heylen
Heymans
Heyvaert
Holvoet
Horemans
Hoste
Houben
Huybrechts
Huyghe
Huys
Huysmans
Jacobs
Jans
Jansen
Janssen
Janssens
Jonckheere
Joos
Joris
Kaur
Kaya
Kenis
Kerkhofs
Knockaert
Laenen
Lambert
Lambrecht
Lambrechts
Lammens
Laureys
Lauwers
Leemans
Lemmens
Lenaerts
Leroy
Leys
Leysen
Liekens
Lievens
Lippens
Loos
Luyckx
Luyten
Maertens
Maes
Mahieu
Malfait
Marien
Maris
Mariën
Martens
Matthijs
Matthys
Meersman
Meert
Mees
Meeus
Melis
Merckx
Mertens
Mestdagh
Meyers
Michiels
Michielsen
Moens
Moerman
Moonen
Moons
Moors
Moreels
Mortier
Naessens
Neirynck
Nelissen
Neven
Neyens
Nijs
Nuyts
Nys
Ooms
Op de Beeck
Parmentier
Pattyn
Pauwels
Peeters
Peters
Philips
Pieters
Poelmans
Polfliet
Pollet
Poppe
Praet
Proost
Put
Raes
Raeymaekers
Ramaekers
Renders
Reynaert
Reynders
Roelandt
Roels
Rogiers
Rombaut
Rombouts
Roose
Roosen
Rosseel
Rottiers
Rutten
Sabbe
Saelens
Samyn
Sanders
Schepens
Schepers
Schoofs
Segers
Seghers
Sels
Simoens
Simons
Singh
Slegers
Smeets
Smet
Smets
Smits
Smolders
Snauwaert
Somers
Staelens
Standaert
Stas
Sterckx
Stevens
Steyaert
Stroobants
Swennen
Swinnen
Tack
Tanghe
Temmerman
Theunis
Theys
Thijs
Thomas
Thys
Tielemans
Timmerman
Timmermans
Torfs
Troch
Vaes
Van Acker
Van Assche
Van Baelen
Van Belle
Van Bogaert
Van Camp
Van Campenhout
Van Daele
Van Damme
Van Dessel
Van Dijck
Van Dooren
Van Driessche
Van Dyck
Van Genechten
Van Gestel
Van Goethem
Van Gorp
Van Hecke
Van Herck
Van Hoecke
Van Hoof
Van Hove
Van Hulle
Van Impe
Van Laer
Van Laere
Van Landeghem
Van Lierde
Van Loo
Van Loock
Van Loon
Van Looveren
Van Looy
Van Nuffel
Van Parys
Van Poucke
Van Praet
Van Raemdonck
Van Rompaey
Van Roy
Van de Velde
Van de Voorde
Van de Walle
Van den Bergh
Van den Berghe
Van den Bosch
Van den Bossche
Van den Brande
Van den Broeck
Van den Eynde
Van der Auwera
Van der Linden
Vanbrabant
Vandaele
Vandamme
Vandecasteele
Vandekerckhove
Vandenberghe
Vandenbroucke
Vandenbussche
Vandendriessche
Vandeputte
Vanderheyden
Vanderlinden
Vanderstraeten
Vandevelde
Vandewalle
Vanhee
Vanhoutte
Vanhove
Vanneste
Vansteenkiste
Verbeeck
Verbeke
Verbiest
Verbist
Verboven
Verbruggen
Verbrugghe
Vercammen
Vercauteren
Vercruysse
Verdonck
Vereecke
Vereecken
Verelst
Verfaillie
Vergauwen
Verhaegen
Verhaeghe
Verhelst
Verheyden
Verheyen
Verhoeven
Verhulst
Verlinden
Vermeersch
Vermeir
Vermeire
Vermeiren
Vermeulen
Vermeylen
Verschueren
Verstappen
Verstraete
Verstraeten
Vervaeke
Vervaet
Vervoort
Verwimp
Viaene
Vinck
Vissers
Vlaeminck
Vleugels
Voet
Vos
Vrancken
Vranckx
Vranken
Wauters
Wellens
Willaert
Willekens
Willems
Wouters
Wuyts
Wynants
Yildirim
Yilmaz
